t1,f1.s11m,f1.s21m,f1.s11a,f1.s21a,t2,f2.s11m,f2.s21m,f2.s11a,f2.s21a
0,0,0,0,0,0,0,0,0,0
0.0023874,0,0,0,0,0.0019321,0,0,0,0
0.0047747,0,0,0,0,0.0038642,0,0,0,0
0.0071621,0,0,0,0,0.0057963,0,0,0,0
0.0095494,0,0,0,0,0.0077284,0,0,0,0
0.011937,0,0,0,0,0.0096605,0,0,0,0
0.014324,0,0,0,0,0.011593,0,0,0,0
0.016711,0,0,0,0,0.013525,0,0,0,0
0.019099,0,0,0,0,0.015457,0,0,0,0
0.021486,0,0,0,0,0.017389,0,0,0,0
0.023874,0,0,0,0,0.019321,0,0,0,0
0.026261,0,0,0,0,0.021253,0,0,0,0
0.028648,0,0,0,0,0.023185,0,0,0,0
0.031036,0,0,0,0,0.025117,0,0,0,0
0.033423,0,0,0,0,0.02705,0,0,0,0
0.03581,0,0,0,0,0.028982,0,0,0,0
0.038198,0,0,0,0,0.030914,0,0,0,0
0.040585,0,0,0,0,0.032846,0,0,0,0
0.042972,0,0,0,0,0.034778,0,0,0,0
0.04536,0,0,0,0,0.03671,0,0,0,0
0.047747,0,0,0,0,0.038642,0,0,0,0
0.050134,0,0,0,0,0.040574,0,0,0,0
0.052522,0,0,0,0,0.042506,0,0,0,0
0.054909,0,0,0,0,0.044438,0,0,0,0
0.057297,0,0,0,0,0.046371,0,0,0,0
0.059684,0,0,0,0,0.048303,0,0,0,0
0.062071,0,0,0,0,0.050235,0,0,0,0
0.064459,0,0,0,0,0.052167,0,0,0,0
0.066846,0,0,0,0,0.054099,0,0,0,0
0.069233,0,0,0,0,0.056031,0,0,0,0
0.071621,0,0,0,0,0.057963,0,0,0,0
0.074008,0,0,0,0,0.059895,0,0,0,0
0.076395,0,0,0,0,0.061827,0,0,0,0
0.078783,0,0,0,0,0.06376,0,0,0,0
0.08117,0,0,0,0,0.065692,0,0,0,0
0.083557,0,0,0,0,0.067624,0,0,0,0
0.085945,0,0,0,0,0.069556,0,0,0,0
0.088332,0,0,0,0,0.071488,0,0,0,0
0.090719,0,0,0,0,0.07342,0,0,0,0
0.093107,0,0,0,0,0.075352,0,0,0,0
0.095494,0,0,0,0,0.077284,0,0,0,0
0.097882,0,0,0,0,0.079216,0,0,0,0
0.10027,0,0,0,0,0.081149,0,0,0,0
0.10266,0,0,0,0,0.083081,0,0,0,0
0.10504,0,0,0,0,0.085013,0,0,0,0
0.10743,0,0,0,0,0.086945,0,0,0,0
0.10982,0,0,0,0,0.088877,0,0,0,0
0.11221,0,0,0,0,0.090809,0,0,0,0
0.11459,0,0,0,0,0.092741,0,0,0,0
0.11698,0,0,0,0,0.094673,0,0,0,0
0.11937,0,0,0,0,0.096605,0,0,0,0
0.12176,0,0,0,0,0.098537,0,0,0,0
0.12414,0,0,0,0,0.10047,0,0,0,0
0.12653,0,0,0,0,0.1024,0,0,0,0
0.12892,0,0,0,0,0.10433,0,0,0,0
0.1313,0,0,0,0,0.10627,0,0,0,0
0.13369,0,0,0,0,0.1082,0,0,0,0
0.13608,0,0,0,0,0.11013,0,0,0,0
0.13847,0,0,0,0,0.11206,0,0,0,0
0.14085,0,0,0,0,0.11399,0,0,0,0
0.14324,0,0,0,0,0.11593,0,0,0,0
0.14563,0,0,0,0,0.11786,0,0,0,0
0.14802,0,0,0,0,0.11979,0,0,0,0
0.1504,0,0,0,0,0.12172,0,0,0,0
0.15279,0,0,0,0,0.12365,0,0,0,0
0.15518,0,0,0,0,0.12559,0,0,0,0
0.15757,0,0,0,0,0.12752,0,0,0,0
0.15995,0,0,0,0,0.12945,0,0,0,0
0.16234,0,0,0,0,0.13138,0,0,0,0
0.16473,0,0,0,0,0.13332,0,0,0,0
0.16711,0,0,0,0,0.13525,0,0,0,0
0.1695,0,0,0,0,0.13718,0,0,0,0
0.17189,0,0,0,0,0.13911,0,0,0,0
0.17428,0,0,0,0,0.14104,0,0,0,0
0.17666,0,0,0,0,0.14298,0,0,0,0
0.17905,0,0,0,0,0.14491,0,0,0,0
0.18144,0,0,0,0,0.14684,0,0,0,0
0.18383,0,0,0,0,0.14877,0,0,0,0
0.18621,0,0,0,0,0.1507,0,0,0,0
0.1886,0,0,0,0,0.15264,0,0,0,0
0.19099,0,0,0,0,0.15457,0,0,0,0
0.19338,0,0,0,0,0.1565,0,0,0,0
0.19576,0,0,0,0,0.15843,0,0,0,0
0.19815,0,0,0,0,0.16036,0,0,0,0
0.20054,0,0,0,0,0.1623,0,0,0,0
0.20293,0,0,0,0,0.16423,0,0,0,0
0.20531,0,0,0,0,0.16616,0,0,0,0
0.2077,0,0,0,0,0.16809,0,0,0,0
0.21009,0,0,0,0,0.17003,0,0,0,0
0.21247,0,0,0,0,0.17196,0,0,0,0
0.21486,0,0,0,0,0.17389,0,0,0,0
0.21725,0,0,0,0,0.17582,0,0,0,0
0.21964,0,0,0,0,0.17775,0,0,0,0
0.22202,0,0,0,0,0.17969,0,0,0,0
0.22441,0,0,0,0,0.18162,0,0,0,0
0.2268,0,0,0,0,0.18355,0,0,0,0
0.22919,0,0,0,0,0.18548,0,0,0,0
0.23157,0,0,0,0,0.18741,0,0,0,0
0.23396,0,0,0,0,0.18935,0,0,0,0
0.23635,0,0,0,0,0.19128,0,0,0,0
0.23874,0,0,0,0,0.19321,0,0,0,0
0.24112,0,0,0,0,0.19514,0,0,0,0
0.24351,0,0,0,0,0.19707,0,0,0,0
